"","age_A","age_B","height_A","height_B","reach_A","reach_B","weight_A","weight_B","won_A","won_B","lost_A","lost_B","kos_A","kos_B","result","AdvAgeA","AdvHeightA","AdvReachA","AdvWgtA","Over35AgeA","Over35AgeB","Over15lbA","Over15lbB","WinPA","WinPB","KoAPer","KoBPer","binaryresult","stance"
"4341",31,31,188,189,198,208,241,246,38,35,5,4,27,29,"win_A",0,-1,-10,-5,0,0,0,0,0.883720930232558,0.897435897435897,0.627906976744186,0.743589743589744,0,"orthodox"
"1116",18,26,168,175,175,193,123,122,3,4,0,9,3,1,"win_A",-8,-7,-18,1,0,0,0,0,1,0.307692307692308,1,0.0769230769230769,0,"orthodox"
"5251",33,38,193,187,189,185,176,177,37,18,6,3,29,6,"win_A",-5,6,4,-1,0,1,0,0,0.86046511627907,0.857142857142857,0.674418604651163,0.285714285714286,0,"orthodox"
"1419",19,26,170,170,178,173,145,141,17,12,1,5,10,9,"win_A",-7,0,5,4,0,0,0,0,0.944444444444444,0.705882352941177,0.555555555555556,0.529411764705882,0,"orthodox"
"2217",26,28,175,178,179,185,135,135,22,14,2,2,18,7,"win_A",-2,-3,-6,0,0,0,0,0,0.916666666666667,0.875,0.75,0.4375,0,"Unknown"
"1885",28,26,170,170,170,170,139,139,24,29,1,2,13,18,"win_A",2,0,0,0,0,0,0,0,0.96,0.935483870967742,0.52,0.580645161290323,0,"orthodox"
"2735",25,25,177,180,191,193,160,160,48,51,2,15,40,32,"win_A",0,-3,-2,0,0,0,0,0,0.96,0.772727272727273,0.8,0.484848484848485,0,"southpaw"
"2845",23,25,178,173,188,175,151,153,22,30,0,4,13,21,"win_A",-2,5,13,-2,0,0,0,0,1,0.882352941176471,0.590909090909091,0.617647058823529,0,"orthodox"
"1788",26,27,198,188,203,193,230,223,12,6,1,0,6,4,"win_A",-1,10,10,7,0,0,0,0,0.923076923076923,1,0.461538461538462,0.666666666666667,0,"orthodox"
"3089",31,34,170,175,170,188,125,126,43,37,2,4,33,26,"win_A",-3,-5,-18,-1,0,0,0,0,0.955555555555556,0.902439024390244,0.733333333333333,0.634146341463415,0,"orthodox"
"5238",38,24,171,171,180,178,139,146,134,78,41,14,29,51,"win_A",14,0,2,-7,1,0,0,0,0.765714285714286,0.847826086956522,0.165714285714286,0.554347826086957,0,"orthodox"
"1385",30,39,191,185,193,201,234,224,29,41,1,21,21,35,"win_A",-9,6,-8,10,0,1,0,0,0.966666666666667,0.661290322580645,0.7,0.564516129032258,0,"orthodox"
"5230",24,34,171,160,173,152,115,115,22,30,1,15,10,20,"win_A",-10,11,21,0,0,0,0,0,0.956521739130435,0.666666666666667,0.434782608695652,0.444444444444444,0,"southpaw"
"3762",21,33,193,179,203,175,194,205,17,52,3,17,15,35,"win_A",-12,14,28,-11,0,0,0,0,0.85,0.753623188405797,0.75,0.507246376811594,0,"Unknown"
"3697",26,23,168,172,169,175,135,135,38,20,3,1,34,11,"win_A",3,-4,-6,0,0,0,0,0,0.926829268292683,0.952380952380952,0.829268292682927,0.523809523809524,0,"orthodox"
"4739",24,23,160,165,168,168,108,108,15,12,0,1,12,9,"win_A",1,-5,0,0,0,0,0,0,1,0.923076923076923,0.8,0.692307692307692,0,"southpaw"
"3652",25,23,161,165,171,169,134,134,25,10,0,3,14,9,"win_A",2,-4,2,0,0,0,0,0,1,0.769230769230769,0.56,0.692307692307692,0,"Unknown"
"1831",31,24,173,178,178,182,145,145,18,7,5,13,5,2,"win_A",7,-5,-4,0,0,0,0,0,0.782608695652174,0.35,0.217391304347826,0.1,0,"orthodox"
"1811",25,33,173,168,178,173,140,139,8,22,0,32,3,10,"win_A",-8,5,5,1,0,0,0,0,1,0.407407407407407,0.375,0.185185185185185,0,"southpaw"
"5082",31,27,160,160,150,178,105,108,55,25,5,12,28,9,"win_A",4,0,-28,-3,0,0,0,0,0.916666666666667,0.675675675675676,0.466666666666667,0.243243243243243,0,"orthodox"
"4747",25,34,171,170,173,170,140,140,32,27,1,4,16,19,"win_A",-9,1,3,0,0,0,0,0,0.96969696969697,0.870967741935484,0.484848484848485,0.612903225806452,0,"orthodox"
"2892",20,33,173,166,183,173,132,130,4,9,0,9,3,2,"win_A",-13,7,10,2,0,0,0,0,1,0.5,0.75,0.111111111111111,0,"orthodox"
"3256",23,26,185,180,193,188,185,190,40,50,4,23,28,15,"win_A",-3,5,5,-5,0,0,0,0,0.909090909090909,0.684931506849315,0.636363636363636,0.205479452054795,0,"orthodox"
"1253",23,29,162,157,162,165,107,106,26,15,3,6,19,11,"win_A",-6,5,-3,1,0,0,0,0,0.896551724137931,0.714285714285714,0.655172413793103,0.523809523809524,0,"orthodox"
"3534",20,26,170,171,174,178,132,132,12,23,6,9,3,14,"win_A",-6,-1,-4,0,0,0,0,0,0.666666666666667,0.71875,0.166666666666667,0.4375,0,"Unknown"
"2016",19,38,170,180,183,183,147,147,15,60,1,57,14,49,"win_A",-19,-10,0,0,0,1,0,0,0.9375,0.512820512820513,0.875,0.418803418803419,0,"orthodox"
"5911",20,22,173,165,175,165,126,122,13,3,0,2,11,1,"win_A",-2,8,10,4,0,0,0,0,1,0.6,0.846153846153846,0.2,0,"orthodox"
"3042",43,27,170,173,168,173,167,166,92,25,10,4,65,10,"win_A",16,-3,-5,1,1,0,0,0,0.901960784313726,0.862068965517241,0.637254901960784,0.344827586206897,0,"orthodox"
"4864",21,25,188,180,198,196,171,171,14,16,0,0,14,15,"win_A",-4,8,2,0,0,0,0,0,1,1,1,0.9375,0,"southpaw"
"3903",37,27,170,174,173,173,151,158,71,34,29,23,25,16,"win_A",10,-4,0,-7,1,0,0,0,0.71,0.596491228070175,0.25,0.280701754385965,0,"Unknown"
"3282",26,21,179,185,182,193,178,184,166,25,31,4,13,19,"win_A",5,-6,-11,-6,0,0,0,0,0.842639593908629,0.862068965517241,0.065989847715736,0.655172413793103,0,"orthodox"
"2293",25,25,173,165,188,178,130,132,14,15,1,8,11,13,"win_A",0,8,10,-2,0,0,0,0,0.933333333333333,0.652173913043478,0.733333333333333,0.565217391304348,0,"orthodox"
"3679",38,35,170,183,180,185,193,190,36,22,8,8,21,16,"win_A",3,-13,-5,3,1,1,0,0,0.818181818181818,0.733333333333333,0.477272727272727,0.533333333333333,0,"orthodox"
"2351",21,20,171,168,171,168,128,128,1,1,0,0,0,0,"win_A",1,3,3,0,0,0,0,0,1,1,0,0,0,"orthodox"
"4511",27,30,170,168,173,165,122,122,24,45,0,5,15,25,"win_A",-3,2,8,0,0,0,0,0,1,0.9,0.625,0.5,0,"orthodox"
"2843",23,25,178,178,188,185,146,147,24,28,0,5,15,9,"win_A",-2,0,3,-1,0,0,0,0,1,0.848484848484849,0.625,0.272727272727273,0,"orthodox"
"3944",30,33,168,163,170,165,115,115,18,35,3,6,9,25,"win_A",-3,5,5,0,0,0,0,0,0.857142857142857,0.853658536585366,0.428571428571429,0.609756097560976,0,"orthodox"
"2510",31,32,196,180,216,188,208,258,10,3,0,14,6,2,"win_A",-1,16,28,-50,0,0,0,1,1,0.176470588235294,0.6,0.117647058823529,0,"orthodox"
"3206",28,32,190,183,206,201,210,210,26,54,0,6,19,52,"win_A",-4,7,5,0,0,0,0,0,1,0.9,0.730769230769231,0.866666666666667,0,"orthodox"
"954",27,21,165,162,169,166,112,112,19,18,1,1,11,6,"win_A",6,3,3,0,0,0,0,0,0.95,0.947368421052632,0.55,0.315789473684211,0,"orthodox"
"4962",29,30,183,182,173,188,154,154,30,29,0,2,22,20,"win_A",-1,1,-15,0,0,0,0,0,1,0.935483870967742,0.733333333333333,0.645161290322581,0,"southpaw"
"3612",28,24,168,168,173,171,135,132,62,54,13,24,24,24,"win_A",4,0,2,3,0,0,0,0,0.826666666666667,0.692307692307692,0.32,0.307692307692308,0,"orthodox"
"707",19,22,174,170,175,173,144,144,8,8,0,3,3,6,"win_A",-3,4,2,0,0,0,0,0,1,0.727272727272727,0.375,0.545454545454545,0,"southpaw"
"2321",19,25,157,163,160,159,108,109,8,0,1,5,6,0,"win_A",-6,-6,1,-1,0,0,0,0,0.888888888888889,0,0.666666666666667,0,0,"orthodox"
"1006",17,28,175,175,178,178,137,138,2,2,0,1,1,2,"win_A",-11,0,0,-1,0,0,0,0,1,0.666666666666667,0.5,0.666666666666667,0,"southpaw"
"5246",38,32,191,191,191,198,210,257,19,24,2,4,14,18,"win_A",6,0,-7,-47,1,0,0,1,0.904761904761905,0.857142857142857,0.666666666666667,0.642857142857143,0,"orthodox"
"4226",28,35,170,170,177,168,120,122,55,27,3,5,35,18,"win_A",-7,0,9,-2,0,1,0,0,0.948275862068966,0.84375,0.603448275862069,0.5625,0,"orthodox"
"3258",24,30,192,156,201,165,148,205,24,84,7,11,11,51,"win_A",-6,36,36,-57,0,0,0,1,0.774193548387097,0.884210526315789,0.354838709677419,0.536842105263158,0,"orthodox"
"4574",34,28,190,196,201,208,234,233,32,14,4,0,19,10,"win_A",6,-6,-7,1,0,0,0,0,0.888888888888889,1,0.527777777777778,0.714285714285714,0,"orthodox"
"2923",28,28,191,179,198,185,212,204,30,46,0,6,24,37,"win_A",0,12,13,8,0,0,0,0,1,0.884615384615385,0.8,0.711538461538462,0,"orthodox"
"3390",26,29,182,185,185,193,205,201,24,27,0,5,21,12,"win_A",-3,-3,-8,4,0,0,0,0,1,0.84375,0.875,0.375,0,"orthodox"
"3368",25,32,185,175,196,183,160,159,32,46,0,3,22,26,"win_A",-7,10,13,1,0,0,0,0,1,0.938775510204082,0.6875,0.530612244897959,0,"southpaw"
"1901",26,31,178,180,183,196,175,175,46,21,2,3,31,20,"win_A",-5,-2,-13,0,0,0,0,0,0.958333333333333,0.875,0.645833333333333,0.833333333333333,0,"orthodox"
"4107",39,31,182,183,191,183,185,198,126,27,19,36,78,19,"win_A",8,-1,8,-13,1,0,0,0,0.868965517241379,0.428571428571429,0.537931034482759,0.301587301587302,0,"orthodox"
"5997",32,34,168,173,168,178,136,135,38,25,3,5,23,22,"win_A",-2,-5,-10,1,0,0,0,0,0.926829268292683,0.833333333333333,0.560975609756098,0.733333333333333,0,"orthodox"
"5201",32,38,191,183,193,196,195,214,20,96,1,8,17,58,"win_A",-6,8,-3,-19,0,1,0,1,0.952380952380952,0.923076923076923,0.80952380952381,0.557692307692308,0,"orthodox"
"5435",30,33,175,168,178,170,130,134,28,25,2,4,23,19,"win_A",-3,7,8,-4,0,0,0,0,0.933333333333333,0.862068965517241,0.766666666666667,0.655172413793103,0,"orthodox"
"267",23,34,180,175,184,188,153,153,14,30,0,6,8,20,"win_A",-11,5,-4,0,0,0,0,0,1,0.833333333333333,0.571428571428571,0.555555555555556,0,"orthodox"
"5369",23,27,175,172,175,173,151,145,34,54,10,10,18,11,"win_A",-4,3,2,6,0,0,0,0,0.772727272727273,0.84375,0.409090909090909,0.171875,0,"orthodox"
"953",22,27,179,175,188,183,140,138,8,16,0,2,7,7,"win_A",-5,4,5,2,0,0,0,0,1,0.888888888888889,0.875,0.388888888888889,0,"orthodox"
"81",29,27,164,170,168,166,128,131,27,25,1,4,14,15,"win_A",2,-6,2,-3,0,0,0,0,0.964285714285714,0.862068965517241,0.5,0.517241379310345,0,"orthodox"
"2769",32,27,170,179,170,182,176,178,123,176,20,35,56,13,"win_A",5,-9,-12,-2,0,0,0,0,0.86013986013986,0.834123222748815,0.391608391608392,0.0616113744075829,0,"orthodox"
"492",26,33,172,172,176,171,122,122,13,24,1,7,4,7,"win_A",-7,0,5,0,0,0,0,0,0.928571428571429,0.774193548387097,0.285714285714286,0.225806451612903,0,"orthodox"
"1545",28,31,187,183,198,191,198,198,17,22,0,5,14,12,"win_A",-3,4,7,0,0,0,0,0,1,0.814814814814815,0.823529411764706,0.444444444444444,0,"orthodox"
"3977",32,29,169,165,178,175,153,154,71,15,5,9,48,4,"win_A",3,4,3,-1,0,0,0,0,0.934210526315789,0.625,0.631578947368421,0.166666666666667,0,"orthodox"
"3179",23,25,178,173,188,175,151,153,22,30,0,4,13,21,"win_A",-2,5,13,-2,0,0,0,0,1,0.882352941176471,0.590909090909091,0.617647058823529,0,"orthodox"
"2711",24,29,178,170,188,168,146,146,27,72,1,1,18,56,"win_A",-5,8,20,0,0,0,0,0,0.964285714285714,0.986301369863014,0.642857142857143,0.767123287671233,0,"orthodox"
"2742",28,25,165,157,165,160,104,105,40,30,0,2,30,19,"win_A",3,8,5,-1,0,0,0,0,1,0.9375,0.75,0.59375,0,"orthodox"
"1950",23,31,178,173,178,178,140,140,19,18,5,1,15,8,"win_A",-8,5,0,0,0,0,0,0,0.791666666666667,0.947368421052632,0.625,0.421052631578947,0,"orthodox"
"4761",31,27,177,178,185,189,160,159,23,19,3,0,19,11,"win_A",4,-1,-4,1,0,0,0,0,0.884615384615385,1,0.730769230769231,0.578947368421053,0,"southpaw"
"4626",28,40,185,188,191,203,196,191,21,40,1,12,11,28,"win_A",-12,-3,-12,5,0,1,0,0,0.954545454545455,0.769230769230769,0.5,0.538461538461538,0,"orthodox"
"2763",23,27,170,162,170,163,125,126,19,20,1,5,14,11,"win_A",-4,8,7,-1,0,0,0,0,0.95,0.8,0.7,0.44,0,"orthodox"
"5926",33,36,175,173,191,183,159,160,30,12,6,35,16,4,"win_A",-3,2,8,-1,0,1,0,0,0.833333333333333,0.25531914893617,0.444444444444444,0.0851063829787234,0,"orthodox"
"1917",25,23,173,171,173,173,135,135,19,1,2,0,10,1,"win_A",2,2,0,0,0,0,0,0,0.904761904761905,1,0.476190476190476,1,0,"southpaw"
"403",26,30,169,170,175,173,124,124,36,29,6,19,30,20,"win_A",-4,-1,2,0,0,0,0,0,0.857142857142857,0.604166666666667,0.714285714285714,0.416666666666667,0,"orthodox"
"4161",31,23,168,170,178,170,147,148,101,83,24,16,60,40,"win_A",8,-2,8,-1,0,0,0,0,0.808,0.838383838383838,0.48,0.404040404040404,0,"orthodox"
"875",25,23,175,178,177,180,142,141,11,6,0,8,9,2,"win_A",2,-3,-3,1,0,0,0,0,1,0.428571428571429,0.818181818181818,0.142857142857143,0,"orthodox"
"3393",34,35,164,163,168,168,126,126,63,41,7,9,48,27,"win_A",-1,1,0,0,0,1,0,0,0.9,0.82,0.685714285714286,0.54,0,"orthodox"
"166",24,24,168,165,175,169,126,126,22,28,2,6,14,20,"win_A",0,3,6,0,0,0,0,0,0.916666666666667,0.823529411764706,0.583333333333333,0.588235294117647,0,"orthodox"
"1533",21,22,170,168,165,183,133,133,24,23,1,3,17,15,"win_A",-1,2,-18,0,0,0,0,0,0.96,0.884615384615385,0.68,0.576923076923077,0,"Unknown"
"1566",25,21,170,173,168,180,122,120,23,20,2,1,6,15,"win_A",4,-3,-12,2,0,0,0,0,0.92,0.952380952380952,0.24,0.714285714285714,0,"orthodox"
"1920",21,23,173,173,184,173,132,132,2,16,0,0,1,10,"win_A",-2,0,11,0,0,0,0,0,1,1,0.5,0.625,0,"orthodox"
"4925",22,22,173,168,170,173,132,133,10,9,0,6,7,2,"win_A",0,5,-3,-1,0,0,0,0,1,0.6,0.7,0.133333333333333,0,"orthodox"
"3831",30,28,183,177,185,175,150,151,32,18,0,4,25,11,"win_A",2,6,10,-1,0,0,0,0,1,0.818181818181818,0.78125,0.5,0,"orthodox"
"4324",26,27,163,168,165,161,118,117,29,29,1,6,23,20,"win_A",-1,-5,4,1,0,0,0,0,0.966666666666667,0.828571428571429,0.766666666666667,0.571428571428571,0,"orthodox"
"1874",35,41,178,178,178,189,168,166,26,22,8,26,24,16,"win_A",-6,0,-11,2,1,1,0,0,0.764705882352941,0.458333333333333,0.705882352941177,0.333333333333333,0,"orthodox"
"152",27,35,160,161,163,170,111,112,42,51,0,8,36,30,"win_A",-8,-1,-7,-1,0,1,0,0,1,0.864406779661017,0.857142857142857,0.508474576271186,0,"orthodox"
"590",21,37,178,170,185,178,144,143,11,37,0,17,10,22,"win_A",-16,8,7,1,0,1,0,0,1,0.685185185185185,0.909090909090909,0.407407407407407,0,"orthodox"
"2894",26,27,180,180,184,178,152,148,79,30,1,20,53,4,"win_A",-1,0,6,4,0,0,0,0,0.9875,0.6,0.6625,0.08,0,"orthodox"
"339",39,27,181,182,181,179,167,166,48,22,3,0,35,15,"win_A",12,-1,2,1,1,0,0,0,0.941176470588235,1,0.686274509803922,0.681818181818182,0,"southpaw"
"4676",22,36,165,170,175,178,128,126,12,41,0,8,9,22,"win_A",-14,-5,-3,2,0,1,0,0,1,0.836734693877551,0.75,0.448979591836735,0,"orthodox"
"5489",22,30,193,185,203,183,219,235,18,13,0,28,15,8,"win_A",-8,8,20,-16,0,0,0,1,1,0.317073170731707,0.833333333333333,0.195121951219512,0,"orthodox"
"5025",28,33,173,175,180,178,141,142,25,16,2,6,5,9,"win_A",-5,-2,2,-1,0,0,0,0,0.925925925925926,0.727272727272727,0.185185185185185,0.409090909090909,0,"orthodox"
"4882",22,30,179,183,185,196,204,186,14,48,1,4,13,23,"win_A",-8,-4,-11,18,0,0,1,0,0.933333333333333,0.923076923076923,0.866666666666667,0.442307692307692,0,"orthodox"
"3063",27,22,169,168,180,178,133,133,123,3,7,1,81,1,"win_A",5,1,2,0,0,0,0,0,0.946153846153846,0.75,0.623076923076923,0.25,0,"orthodox"
"3576",26,22,170,175,170,177,142,138,128,27,10,6,27,17,"win_A",4,-5,-7,4,0,0,0,0,0.927536231884058,0.818181818181818,0.195652173913043,0.515151515151515,0,"Unknown"
"5046",34,35,173,184,193,188,185,200,178,85,53,18,108,48,"win_A",-1,-11,5,-15,0,1,0,1,0.770562770562771,0.825242718446602,0.467532467532468,0.466019417475728,0,"southpaw"
"2946",29,38,188,189,198,198,217,227,36,37,4,4,27,25,"win_A",-9,-1,0,-10,0,1,0,0,0.9,0.902439024390244,0.675,0.609756097560976,0,"orthodox"
"9",18,28,175,173,179,183,147,147,22,16,0,1,15,15,"win_A",-10,2,-4,0,0,0,0,0,1,0.941176470588235,0.681818181818182,0.882352941176471,0,"orthodox"
"2432",26,28,193,183,188,188,249,224,18,32,7,12,9,19,"win_A",-2,10,0,25,0,0,1,0,0.72,0.727272727272727,0.36,0.431818181818182,0,"orthodox"
"1187",24,33,206,191,216,208,240,248,19,28,0,2,14,13,"win_A",-9,15,8,-8,0,0,0,0,1,0.933333333333333,0.736842105263158,0.433333333333333,0,"orthodox"
"5048",29,30,173,179,193,183,165,181,157,10,40,1,94,8,"win_A",-1,-6,10,-16,0,0,0,1,0.796954314720812,0.909090909090909,0.477157360406091,0.727272727272727,0,"southpaw"
"1376",23,38,168,175,188,180,163,160,8,6,2,22,5,3,"win_A",-15,-7,8,3,0,1,0,0,0.8,0.214285714285714,0.5,0.107142857142857,0,"orthodox"
"3269",22,30,180,197,178,208,175,208,62,4,14,10,15,3,"win_A",-8,-17,-30,-33,0,0,0,1,0.815789473684211,0.285714285714286,0.197368421052632,0.214285714285714,0,"orthodox"
"3915",27,25,163,165,165,165,115,114,39,12,2,3,26,9,"win_A",2,-2,0,1,0,0,0,0,0.951219512195122,0.8,0.634146341463415,0.6,0,"southpaw"
"2272",23,26,183,181,186,185,158,162,7,5,2,4,4,0,"win_A",-3,2,1,-4,0,0,0,0,0.777777777777778,0.555555555555556,0.444444444444444,0,0,"orthodox"
"3178",23,27,178,179,188,188,147,147,23,45,0,3,14,28,"win_A",-4,-1,0,0,0,0,0,0,1,0.9375,0.608695652173913,0.583333333333333,0,"orthodox"
"3205",28,34,190,191,206,203,209,220,27,40,0,4,19,32,"win_A",-6,-1,3,-11,0,0,0,0,1,0.909090909090909,0.703703703703704,0.727272727272727,0,"orthodox"
"1049",23,24,163,161,168,166,115,115,16,9,2,1,8,3,"win_A",-1,2,2,0,0,0,0,0,0.888888888888889,0.9,0.444444444444444,0.3,0,"orthodox"
"4370",26,26,183,193,183,203,198,207,38,37,5,9,23,19,"win_A",0,-10,-20,-9,0,0,0,0,0.883720930232558,0.804347826086957,0.534883720930233,0.41304347826087,0,"orthodox"
"5412",26,30,178,171,185,173,140,140,25,32,0,4,10,9,"win_A",-4,7,12,0,0,0,0,0,1,0.888888888888889,0.4,0.25,0,"orthodox"
"4609",26,34,175,175,188,180,143,143,22,30,2,8,12,17,"win_A",-8,0,8,0,0,0,0,0,0.916666666666667,0.789473684210526,0.5,0.447368421052632,0,"orthodox"
"5179",27,22,169,160,175,160,126,126,79,43,27,6,29,12,"win_A",5,9,15,0,0,0,0,0,0.745283018867924,0.877551020408163,0.273584905660377,0.244897959183673,0,"orthodox"
"2944",32,40,187,189,188,198,220,214,35,38,2,5,20,25,"win_A",-8,-2,-10,6,0,1,0,0,0.945945945945946,0.883720930232558,0.540540540540541,0.581395348837209,0,"southpaw"
"4843",28,32,168,168,175,168,117,117,9,35,0,28,7,18,"win_A",-4,0,7,0,0,0,0,0,1,0.555555555555556,0.777777777777778,0.285714285714286,0,"orthodox"
"3655",23,33,165,172,157,175,126,126,26,45,2,9,23,24,"win_A",-10,-7,-18,0,0,0,0,0,0.928571428571429,0.833333333333333,0.821428571428571,0.444444444444444,0,"orthodox"
"2517",27,25,188,168,193,175,170,170,9,8,0,22,8,3,"win_A",2,20,18,0,0,0,0,0,1,0.266666666666667,0.888888888888889,0.1,0,"orthodox"
"4856",39,35,188,180,198,185,250,239,47,25,4,10,37,13,"win_A",4,8,13,11,1,1,0,0,0.92156862745098,0.714285714285714,0.725490196078431,0.371428571428571,0,"southpaw"
"2985",28,25,188,198,193,206,210,230,62,19,6,21,34,12,"win_A",3,-10,-13,-20,0,0,0,1,0.911764705882353,0.475,0.5,0.3,0,"orthodox"
"3188",27,33,166,156,170,163,130,134,67,187,11,38,39,70,"win_A",-6,10,7,-4,0,0,0,0,0.858974358974359,0.831111111111111,0.5,0.311111111111111,0,"orthodox"
"3734",28,26,170,185,188,194,181,188,42,21,4,5,31,18,"win_A",2,-15,-6,-7,0,0,0,0,0.91304347826087,0.807692307692308,0.673913043478261,0.692307692307692,0,"orthodox"
"27",26,31,171,175,175,180,147,147,24,32,0,2,21,18,"win_A",-5,-4,-5,0,0,0,0,0,1,0.941176470588235,0.875,0.529411764705882,0,"orthodox"
"910",19,21,160,161,165,170,109,107,6,5,0,0,4,2,"win_A",-2,-1,-5,2,0,0,0,0,1,1,0.666666666666667,0.4,0,"orthodox"
"2362",22,23,173,168,185,175,135,135,14,20,0,7,9,17,"win_A",-1,5,10,0,0,0,0,0,1,0.740740740740741,0.642857142857143,0.62962962962963,0,"orthodox"
"5616",36,34,185,180,196,181,153,154,35,23,3,6,22,17,"win_A",2,5,15,-1,1,0,0,0,0.921052631578947,0.793103448275862,0.578947368421053,0.586206896551724,0,"southpaw"
"3215",32,26,168,165,178,175,130,129,62,25,4,2,42,18,"win_A",6,3,3,1,0,0,0,0,0.939393939393939,0.925925925925926,0.636363636363636,0.666666666666667,0,"orthodox"
"1764",20,23,170,170,188,175,132,132,1,6,0,0,1,3,"win_A",-3,0,13,0,0,0,0,0,1,1,1,0.5,0,"orthodox"
"5000",28,33,173,175,180,178,141,142,25,16,2,6,5,9,"win_A",-5,-2,2,-1,0,0,0,0,0.925925925925926,0.727272727272727,0.185185185185185,0.409090909090909,0,"orthodox"
"4875",25,24,175,165,183,178,127,125,24,15,4,3,16,7,"win_A",1,10,5,2,0,0,0,0,0.857142857142857,0.833333333333333,0.571428571428571,0.388888888888889,0,"southpaw"
"170",21,37,165,159,169,160,124,124,20,49,0,19,14,29,"win_A",-16,6,9,0,0,1,0,0,1,0.720588235294118,0.7,0.426470588235294,0,"orthodox"
"1882",33,31,183,175,187,180,159,160,20,14,1,8,13,6,"win_A",2,8,7,-1,0,0,0,0,0.952380952380952,0.636363636363636,0.619047619047619,0.272727272727273,0,"orthodox"
"4343",27,28,188,183,198,198,234,212,33,21,3,1,24,16,"win_A",-1,5,0,22,0,0,1,0,0.916666666666667,0.954545454545455,0.666666666666667,0.727272727272727,0,"orthodox"
